1,P. Buono,2008,Explore! possibilities and challenges of mobile learning
1,M. Costabile,2008,Explore! possibilities and challenges of mobile learning,team_1
1,A. D. Angeli,2008,Explore! possibilities and challenges of mobile learning,team_1
1,R. Lanzilotti,2008,Explore! possibilities and challenges of mobile learning,team_1
1,C. Ardito,2008,Explore! possibilities and challenges of mobile learning,team_1
1,Thomas Pederson,2008,Explore! possibilities and challenges of mobile learning,team_1
2,P. Buono,2014,Investigating and promoting UX practice in industry: An experimental study
2,Carmelo Ardito,2014,Investigating and promoting UX practice in industry: An experimental study,team_2
2,Paolo Buono,2014,Investigating and promoting UX practice in industry: An experimental study,team_2
2,Danilo Caivano,2014,Investigating and promoting UX practice in industry: An experimental study,team_2
2,Maria Francesca Costabile,2014,Investigating and promoting UX practice in industry: An experimental study,team_2
2,Rosa Lanzilotti,2014,Investigating and promoting UX practice in industry: An experimental study,team_2
3,P. Buono,2005,Interactive pattern search in time series
3,A. Aris,2005,Interactive pattern search in time series,team_3
3,C. Plaisant,2005,Interactive pattern search in time series,team_3
3,Amir Khella,2005,Interactive pattern search in time series,team_3
3,B. Shneiderman,2005,Interactive pattern search in time series,team_3
4,P. Buono,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data
4,S. Kandel,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,J. Heer,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,C. Plaisant,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,J. Kennedy,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,F. Ham,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,N. Riche,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,C. Weaver,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,B. Lee,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
4,D. Brodbeck,2011,Research directions in data wrangling: Visualizations and transformations for usable and credible data,team_4
5,P. Buono,2011,Usability evaluation: a survey of software development organizations
5,Carmelo Ardito,2011,Usability evaluation: a survey of software development organizations,team_5
5,Paolo Buono,2011,Usability evaluation: a survey of software development organizations,team_5
5,Danilo Caivano,2011,Usability evaluation: a survey of software development organizations,team_5
5,Maria Francesca Costabile,2011,Usability evaluation: a survey of software development organizations,team_5
5,Rosa Lanzilotti,2011,Usability evaluation: a survey of software development organizations,team_5
5,Anders Bruun,2011,Usability evaluation: a survey of software development organizations,team_5
5,Jan Stage,2011,Usability evaluation: a survey of software development organizations,team_5
6,P. Buono,2012,End users as co-designers of their own tools and products
6,Carmelo Ardito,2012,End users as co-designers of their own tools and products,team_6
6,Paolo Buono,2012,End users as co-designers of their own tools and products,team_6
6,Maria Francesca Costabile,2012,End users as co-designers of their own tools and products,team_6
6,Rosa Lanzilotti,2012,End users as co-designers of their own tools and products,team_6
6,Antonio Piccinno,2012,End users as co-designers of their own tools and products,team_6
7,P. Buono,2015,Interaction with Large Displays: A Survey
7,C. Ardito,2015,Interaction with Large Displays: A Survey,team_7
7,M. Costabile,2015,Interaction with Large Displays: A Survey,team_7
7,G. Desolda,2015,Interaction with Large Displays: A Survey,team_7
8,P. Buono,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting
8,C. Plaisant,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting,team_8
