1,J. Lee,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media
1,G. Bull,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
1,Ann Thompson,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
1,M. Searson,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
1,Joe Garofalo,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
1,J. Park,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
1,Carl Young,2008,Connecting Informal and Formal Learning Experiences in the Age of Participatory Media,team_1
2,J. Lee,1981,The rejection of advice: Managing the problematic convergence of a ‘troubles-telling’ and a ‘service encounter’
2,G. Jefferson,1981,The rejection of advice: Managing the problematic convergence of a ‘troubles-telling’ and a ‘service encounter’,team_2
3,J. Lee,2002,Digital History in the History/Social Studies Classroom
4,J. Lee,2008,Having Our Say
4,H. Spires,2008,Having Our Say,team_4
4,K. Turner,2008,Having Our Say,team_4
4,Janet Johnson,2008,Having Our Say,team_4
5,J. Lee,2004,Raising the Graduation Rates of Low-Income College Students.
5,Lana D. Muraskin,2004,Raising the Graduation Rates of Low-Income College Students.,team_5
6,J. Lee,2009,Using Video Editing to Cultivate Novice Teachers’ Practice
6,B. Calandra,2009,Using Video Editing to Cultivate Novice Teachers’ Practice,team_6
6,Laurie Brantley-Dias,2009,Using Video Editing to Cultivate Novice Teachers’ Practice,team_6
6,Dana L. Fox,2009,Using Video Editing to Cultivate Novice Teachers’ Practice,team_6
7,J. Lee,2011,A Discriminative Model for Joint Morphological Disambiguation and Dependency Parsing
7,Jason Naradowsky,2011,A Discriminative Model for Joint Morphological Disambiguation and Dependency Parsing,team_7
7,D. Smith,2011,A Discriminative Model for Joint Morphological Disambiguation and Dependency Parsing,team_7
8,J. Lee,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.
8,Z. J. Liu,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.,team_8
8,E. Vysotski,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.,team_8
8,C. Chen,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.,team_8
8,J. Rose,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.,team_8
8,B. Wang,2000,Structure of the Ca2+-regulated photoprotein obelin at 1.7 A resolution determined directly from its sulfur substructure.,team_8
9,J. Lee,2010,Handbook of Quantitative Finance and Risk Management
9,Cheng-Few Lee,2010,Handbook of Quantitative Finance and Risk Management,team_9
9,A. Lee,2010,Handbook of Quantitative Finance and Risk Management,team_9
10,J. Lee,2007,Automatic generation of cloze items for prepositions
10,S. Seneff,2007,Automatic generation of cloze items for prepositions,team_10
11,J. Lee,2012,Toward a New Learning Ecology: Professional Development for Teachers in 1:1 Learning Environments
11,Hiller A. Spires,2012,Toward a New Learning Ecology: Professional Development for Teachers in 1:1 Learning Environments,team_11
11,Eric N. Wiebe,2012,Toward a New Learning Ecology: Professional Development for Teachers in 1:1 Learning Environments,team_11
